cenTractCode,nameTract,popTotal,popElder,popForeign,children,averageAge,educationLevel,employment,houseProp,houseRent,houseSize,house1,house2,house3,house3,house5,houseElderAlone,houseElder
8205503004,Ca n'Enric-Sant Jaume,2172,18.37,13.7,17.45,41.53,62.5,51,76.4,18.2,3.28,12.3,24.1,20.1,25.4,18.2,12.9,13.7
8205504001,La Floresta,1393,17.88,16.2,16.01,42.88,59.7,52.5,71.5,21.1,2.95,18.3,27.7,18.5,19.8,15.7,18.8,14.2
8205504002,La Serreta,1526,14.74,18.2,17.3,41,57.9,56.4,73.5,20.4,3.05,16.9,25.1,21.8,22.2,14.1,28.1,12.6
8205504003,Turó del Fumet-Buscarons,2046,15.59,17.6,17.01,41.82,59.3,54.5,74,19.3,2.96,17.3,24.6,22.8,23.7,11.6,13.4,10.9
8205505001,Arxiu-Can Gatxet,1794,17.39,10.1,15.38,42.39,67.4,54.3,80.6,15,3.32,12.2,20.5,21.2,25,21,22.1,14.8
8205505002,Can Cabassa-Ca n'Ametller,1513,7.01,11.2,22.87,36.62,66.8,67.3,75.1,21.2,3.17,10.1,21.2,26.5,30.9,11.3,12.5,4.5
8205505003,Mira-sol Oest,2480,17.1,11.3,19.4,40.41,63.5,53.9,81.1,14.4,3.2,13.1,25,23.1,21.3,17.6,23.3,17.3
8205505004,Mira-sol Pompeu Fabra,2239,10.63,9.3,18.18,38.53,65.9,58.9,89.1,8.2,3.7,5.9,16.6,19.6,35.2,22.8,17,7.2
8205505005,Mira-sol Est,1554,15.83,9.9,18.85,40.38,60.7,56.3,80.6,14,3.28,13.6,23.6,19.2,22.3,21.4,13.2,12
8205505006,Can Mates Est,3308,6.44,17.8,30.2,33.39,74.5,68.2,66.6,27.9,3.14,10.9,20.9,25.8,30.5,11.9,17.3,5
8205505007,Can Mates Oest,3415,5.18,11.7,29.46,33.37,76.2,73,54.1,39.8,2.91,18.9,21.8,22.7,26,10.6,19.1,4.4
8205505008,Mas Gener,1479,15.21,9.2,19.54,40.61,56.5,56,81.6,13.4,3.16,11,26.6,22,26.3,14.1,12,15.3
8205506001,Les Planes,1453,13.56,20.5,13.76,42.02,41.6,51.7,63.7,28.6,2.99,21.4,23.6,21.1,18.5,15.4,24.7,10.1
