cenTractCode,nameTract,popTotal,popElder,children,averageAge,popForeign,popES,popUE,popEUR,popAFR,popNAM,popSAM,popASAN,perSingle,perMarried,perWidowed,perSepDivorced,educationLevel,employment,houseProp,houseRent,houseSize,house1,house2,house3,house3,house5,houseElderAlone,houseElder
8205502002,Lluís Companys,1994,19.46,13.99,43.05,17.9,72.78,3.61,1.20,1.20,4.51,12.63,3.91,46.30,35.60,4.83,7.24,56.7,54.7,59.8,34,2.59,25.7,30.7,18.1,16.5,9,24.3,22
8205502003,Estació,1607,24.52,10.77,46.51,18.2,69.53,3.74,1.87,1.12,4.86,16.07,2.99,43.70,32.59,10.00,6.85,49.5,50.5,48,41,2.71,26.4,27.2,19.2,14,13.1,31,19.4
8205502004,Can Quitèria-Golf,1350,24.89,15.19,44.72,14.4,78.22,4.00,2.00,0.44,3.78,8.89,2.89,46.62,37.69,4.58,6.75,65.4,48.5,64.4,27.8,2.89,19.6,29.9,19.2,17.3,14.1,17.7,23.6
8205502005,Santa Maria,1591,18.6,13.89,42.55,24.1,65.35,2.07,2.82,2.82,5.84,16.38,4.52,46.76,31.68,6.68,6.68,47.6,51.5,52,40.5,2.68,23,31.5,17.9,17.3,10.4,30.4,19.4
8205502006,Eixample Sud,2173,19.05,16.57,41.59,26.6,68.23,5.25,6.35,3.18,5.66,10.08,1.24,43.69,43.04,2.75,5.83,66.8,48.3,75.2,19.4,3.14,14.1,24.4,19.3,26.4,15.9,11.9,21.7
8205502007,Centre Sud,1711,21.74,14.67,44.44,16.7,74.74,4.04,2.28,0.70,4.56,11.93,1.93,47.81,34.49,5.47,6.57,60,54.3,56.9,35.1,2.59,27.1,29.6,19.4,12.1,11.8,22.7,21.3
8205502008,El Colomer,1958,14.81,16.39,40.48,12.2,83.31,3.37,2.14,0.61,2.60,6.28,1.84,49.03,40.51,3.14,5.53,69.8,59.4,75.7,19.7,3.02,17.3,19.2,24,26.8,12.7,19.3,11.5
8205502009,Parc Central Est,1710,19.82,13.98,43.3,9.7,85.61,2.46,2.98,0.35,1.40,5.61,1.75,45.67,42.91,2.94,5.88,72.1,56.1,71.5,22.6,3.01,14.8,23.4,23.1,27.3,11.5,22.6,15.1
8205502010,Parc Central Nord,2219,12.8,17.03,40.17,14.1,80.24,4.33,3.52,0.14,2.17,7.44,2.30,47.56,42.12,1.95,6.56,68.6,57.7,73.9,22.6,3.12,11.9,23.8,23.2,27.1,14.1,20.8,12.2
8205502011,Can Trabal,1748,12.13,18.54,39,18.6,73.76,5.66,3.77,0.51,3.95,10.63,1.72,49.81,40.30,1.71,5.70,66.9,58.1,70.6,23,3.27,13.5,22.4,19,25.7,19.5,9.4,7.7
8205502012,Pla de la Pagesa,1682,19.92,15.93,43.13,11.5,82.89,4.46,2.32,0.89,2.67,4.46,2.50,43.38,43.75,3.49,7.54,68.6,56.6,70.3,24.6,2.98,15,25.9,24.1,21.5,13.5,19.5,16.4
8205503001,Can Calopa,1908,20.65,18.19,42.99,14.8,78.77,6.29,3.30,0.31,2.67,5.97,2.52,46.74,37.95,6.19,6.19,58.7,50.3,78.3,17.1,3.23,12.3,24.9,20.1,24.3,18.4,10.2,13.8
8205503002,Can Cadena,2310,22.47,16.62,43.78,10.2,83.12,4.42,2.60,0.39,2.08,5.19,2.21,44.85,39.84,4.74,7.45,65.8,51.7,76.4,18.1,3.26,14.8,24.3,17.8,22.3,20.8,12.9,18.7
8205503003,Valldoreix Nord,2364,18.27,16.24,42.37,16.2,78.55,6.98,3.05,0.51,2.41,5.33,3.05,47.60,37.20,4.53,7.47,66.8,53.6,80.8,13.6,3.23,13.9,21.4,21.8,25.8,17.1,15,13
8205503004,Ca n'Enric-Sant Jaume,2172,18.37,17.45,41.53,13.7,80.25,5.11,2.49,1.10,2.07,5.94,3.04,46.61,37.29,3.53,6.64,62.5,51,76.4,18.2,3.28,12.3,24.1,20.1,25.4,18.2,12.9,13.7
8205504001,La Floresta,1393,17.88,16.01,42.88,16.2,78.71,6.02,2.37,2.58,1.94,7.31,1.08,48.92,32.25,4.33,7.58,59.7,52.5,71.5,21.1,2.95,18.3,27.7,18.5,19.8,15.7,18.8,14.2
8205504002,La Serreta,1526,14.74,17.3,41,18.2,77.41,7.47,2.75,1.57,3.34,5.89,1.38,49.10,34.87,4.01,7.21,57.9,56.4,73.5,20.4,3.05,16.9,25.1,21.8,22.2,14.1,28.1,12.6
8205504003,Turó del Fumet-Buscarons,2046,15.59,17.01,41.82,17.6,77.27,6.89,3.23,1.47,1.61,8.06,1.47,50.77,33.59,3.56,8.67,59.3,54.5,74,19.3,2.96,17.3,24.6,22.8,23.7,11.6,13.4,10.9
8205505001,Arxiu-Can Gatxet,1794,17.39,15.38,42.39,10.1,84.28,4.01,2.84,0.50,1.67,5.18,1.51,45.53,42.11,3.90,6.50,67.4,54.3,80.6,15,3.32,12.2,20.5,21.2,25,21,22.1,14.8
8205505002,Can Cabassa-Ca n'Ametller,1513,7.01,22.87,36.62,11.2,80.99,3.76,1.78,1.58,1.98,8.32,1.39,50.68,37.14,1.93,7.74,66.8,67.3,75.1,21.2,3.17,10.1,21.2,26.5,30.9,11.3,12.5,4.5
8205505003,Mira-sol Oest,2480,17.1,19.4,40.41,11.3,81.84,3.63,2.42,0.73,2.30,7.63,1.57,47.62,39.73,4.08,5.99,63.5,53.9,81.1,14.4,3.2,13.1,25,23.1,21.3,17.6,23.3,17.3
8205505004,Mira-sol Pompeu Fabra,2239,10.63,18.18,38.53,9.3,85.81,3.08,2.54,0.54,2.41,4.02,1.47,49.93,42.18,1.77,4.49,65.9,58.9,89.1,8.2,3.7,5.9,16.6,19.6,35.2,22.8,17,7.2
8205505005,Mira-sol Est,1554,15.83,18.85,40.38,9.9,85.14,3.47,1.54,0.39,2.12,5.79,1.74,49.40,39.52,4.03,4.64,60.7,56.3,80.6,14,3.28,13.6,23.6,19.2,22.3,21.4,13.2,12
8205505006,Can Mates Est,3308,6.44,30.2,33.39,17.8,76.70,4.62,5.35,1.00,1.63,8.70,1.99,51.59,39.00,1.23,6.55,74.5,68.2,66.6,27.9,3.14,10.9,20.9,25.8,30.5,11.9,17.3,5
8205505007,Can Mates Oest,3415,5.18,29.46,33.37,11.7,80.93,3.78,2.81,0.35,1.85,9.31,0.97,55.05,36.07,0.93,6.17,76.2,73,54.1,39.8,2.91,18.9,21.8,22.7,26,10.6,19.1,4.4
8205505008,Mas Gener,1479,15.21,19.54,40.61,9.2,85.60,3.25,1.01,0.61,2.23,5.68,1.62,44.55,42.95,3.41,6.14,56.5,56,81.6,13.4,3.16,11,26.6,22,26.3,14.1,12,15.3
8205506001,Les Planes,1453,13.56,13.76,42.02,20.5,77.32,6.39,2.47,3.92,1.65,8.04,0.41,50.00,32.61,4.35,6.96,41.6,51.7,63.7,28.6,2.99,21.4,23.6,21.1,18.5,15.4,24.7,10.1
